,Date,Symbol,Company,Sector,PClose,Open,High,Low,Close,Change,Deals,Volume,Value,VWAP
9265,2025-02-24,ABBEYBDS,,,3.6,3.6,3.6,3.6,3.6,0,32,171320,676183.65,3.95
9359,2025-02-24,REGALINS,,,0.71,0.71,0.75,0.75,0.75,0.04,485,870088,648611.02,0.75
9358,2025-02-24,REDSTAREX,,,6.4,6.4,6.69,5.76,6.69,0.29,33,1520659,9029753.63,5.94
9357,2025-02-24,PZ,,,27,27,29.5,29.5,29.5,2.5,106,1150632,32419724.25,28.18
9356,2025-02-24,PRESTIGE,,,1.24,1.24,1.3,1.24,1.28,0.04,47,2041224,2572165.53,1.26
9355,2025-02-24,PRESCO,,,785,785,785,785,785,0,233,966009,702311920.3,727.02
9354,2025-02-24,OMATEK,,,0.81,0.81,0.78,0.78,0.78,-0.3,45,742120,579300.16,0.78
9353,2025-02-24,OKOMUOIL,,,536,536,536,536,536,0,117,68643,37998482.7,553.57
9352,2025-02-24,OANDO,,,59,59,60,57.6,57.6,-1.4,852,3579903,209585260.05,58.54
9351,2025-02-24,NSLTECH,,,0.67,0.67,0.68,0.62,0.62,-0.5,159,11031710,6891379.65,0.62
9350,2025-02-24,NPFMCRFBK,,,1.77,1.77,1.84,1.75,1.75,-0.2,50,3381697,6018095.78,1.78
9349,2025-02-24,NNFM,,,80.6,80.6,72.55,72.55,72.55,-8.05,41,1120545,83152849.35,74.21
9348,2025-02-24,NIDF,,,111.7,111.7,111.7,111.7,111.7,0,18,22853,2549712.1,111.57
9347,2025-02-24,NGXGROUP,,,29.1,29.1,29.1,29.1,29.1,0,20,53085,1537924.7,28.97
9360,2025-02-24,ROYALEX,,,0.84,0.84,0.84,0.84,0.84,0,35,565560,490505.4,0.87
9346,2025-02-24,NEWGOLD,,,38500.02,38500.02,43996,43996,43996,5495.98,1,1,43996,43996
9344,2025-02-24,NEM,,,13.1,13.1,13.1,13.1,13.1,0,47,325752,4220793.65,12.96
9343,2025-02-24,NEIMETH,,,3.16,3.16,3.1,3.1,3.1,-0.6,27,314027,976537.77,3.11
9342,2025-02-24,NCR,,,7.3,7.3,7.3,7.3,7.3,0,12,21507,148336.5,6.9
9341,2025-02-24,NB,,,34,34,33.65,33.65,33.65,-0.35,161,1034047,34663461.1,33.52
9340,2025-02-24,NASCON,,,44.5,44.5,44.5,44.5,44.5,0,121,1166764,50136964.55,42.97
9339,2025-02-24,NAHCO,,,64.95,64.95,64.95,64.95,64.95,0,137,924136,58361737.15,63.15
9338,2025-02-24,MULTIVERSE,,,10.8,10.8,10.8,10.8,10.8,0,10,3200,31200,9.75
9337,2025-02-24,MTNN,,,264.2,264.2,264.2,264.2,264.2,0,730,2009007,486698709.7,242.26
9336,2025-02-24,MRS,,,185,185,185,185,185,0,145,418308,73671769.1,176.12
9335,2025-02-24,MEYER,,,9.25,9.25,9.25,9.25,9.25,0,5,6000,59947.5,9.99
9334,2025-02-24,MERVALUE,,,135,135,135,135,135,0,3,1072,144720,135
9333,2025-02-24,MERGROWTH,,,387,387,387,387,387,0,2,102,39474,387
9332,2025-02-24,MECURE,,,12.55,12.55,12.55,12.55,12.55,0,6,20000,226000,11.3
9345,2025-02-24,NESTLE,,,975,975,975,975,975,0,92,13381,13149403,982.69
9361,2025-02-24,RTBRISCOE,,,2.69,2.69,2.69,2.69,2.69,0,23,184851,463551.52,2.51
9362,2025-02-24,SCOA,,,3.44,3.44,3.44,3.44,3.44,0,38,115727,428489.06,3.7
9363,2025-02-24,SEPLAT,,,5700,5700,5700,5700,5700,0,46,1119,5740470,5130
9392,2025-02-24,ZENITHBANK,,,49.4,49.4,49.5,48,48.4,-1,807,28192002,1372806407.45,48.69
9391,2025-02-24,WEMABANK,,,12.1,12.1,12.2,12.1,12.2,0.1,250,6280652,75049331.35,11.95
9390,2025-02-24,WAPIC,,,2.68,2.68,2.75,2.6,2.6,-0.8,57,1114884,2969262.83,2.66
9389,2025-02-24,WAPCO,,,78,78,77.6,76,77.6,-0.4,216,5669491,437988294.75,77.25
9388,2025-02-24,VITAFOAM,,,39.35,39.35,43.25,39.1,39.6,0.25,126,3456005,136440478.55,39.48
9387,2025-02-24,VFDGROUP,,,52.4,52.4,52.4,52.4,52.4,0,26,115932,5621081.3,48.49
9386,2025-02-24,VETGOODS,,,18.75,18.75,18.75,18.75,18.75,0,1,2,37.5,18.75
9385,2025-02-24,VERITASKAP,,,1.2,1.2,1.21,1.17,1.17,-0.3,80,8477812,9993964.49,1.18
9384,2025-02-24,UPL,,,5.05,5.05,5.05,5.05,5.05,0,17,127869,632098.96,4.94
9383,2025-02-24,UPDC,,,3.1,3.1,3.34,2.91,2.91,-0.19,147,9831450,30353352.67,3.09
9382,2025-02-24,UNIVINSURE,,,0.69,0.69,0.7,0.65,0.7,0.01,524,18682869,12670067.93,0.68
9381,2025-02-24,UNIONDICON,,,6,6,6,6,6,0,10,33910,185214.5,5.46
9380,2025-02-24,UNILEVER,,,39.45,39.45,39.45,39.45,39.45,0,86,1972463,78797927.8,39.95
9379,2025-02-24,UCAP,,,22.55,22.55,22.1,21.8,21.85,-0.7,396,5132830,112605809.3,21.94
9378,2025-02-24,UBA,,,37.5,37.5,37.3,36.8,36.8,-0.7,523,9544092,353793499.6,37.07
9377,2025-02-24,UACN,,,37,37,36.5,36,36,-1,87,1424751,50993936.05,35.79
9376,2025-02-24,TRIPPLEG,,,2.23,2.23,2.23,2.23,2.23,0,4,9740,20288,2.08
9375,2025-02-24,TRANSPOWER,,,364.9,364.9,364.9,364.9,364.9,0,39,10414,3420999,328.5
9374,2025-02-24,TRANSEXPR,,,2,2,2,2,2,0,1,6,12,2
9373,2025-02-24,TRANSCORP,,,58.95,58.95,57.1,57.1,57.1,-1.85,205,1569047,91278963.5,58.17
9372,2025-02-24,TRANSCOHOT,,,126.1,126.1,126.1,126.1,126.1,0,80,314537,35835993.4,113.93
9371,2025-02-24,TOTAL,,,670,670,670,670,670,0,80,81979,54676236,666.95
9370,2025-02-24,TIP,,,4,4,4,4,4,0,33,179007,748334.49,4.18
9369,2025-02-24,TANTALIZER,,,2,2,2.03,2.03,2.03,0.03,38,343488,690487.12,2.01
9368,2025-02-24,SUNUASSUR,,,6.6,6.6,6.38,5.94,6.25,-0.35,57,3413263,20714899.13,6.07
9367,2025-02-24,STERLINGNG,,,5.95,5.95,6,5.88,5.9,-0.5,222,11694289,68199016.97,5.83
9366,2025-02-24,STANBIC,,,64,64,64,64,64,0,115,91779,5989395.75,65.26
9365,2025-02-24,SOVRENINS,,,1.32,1.32,1.29,1.2,1.2,-0.12,53,2493937,3052903.63,1.22
